romanization_key	word_id	confidence
mezulovifefu	0	1.0
mezuulovifefu	0	0.5
mezulovifeefu	0	0.333
mezoolovifefu	0	0.25
mezulovifefoo	0	0.2
gehiforuciher	1	1.0
geehiforuciher	1	0.5
gaehiforujiher	1	0.333
naso	2	1.0
nazo	2	0.5
naaso	2	0.333
nasor	2	0.25
nazoo	2	0.2
mazugofacizimu	3	1.0
mazugofacizymu	3	0.5
mazugofacizimuu	3	0.333
mazugofaceezimu	3	0.25
heyogefidum	4	1.0
heyogehfidum	4	0.5
heyogefydum	4	0.333
heyogefiduum	4	0.25
suwuyixacecer	5	1.0
shuwuyixacecer	5	0.5
suwuyixaceceer	5	0.333
bicuzadiva	6	1.0
biicuzahdiva	6	0.5
bicuzadivaa	6	0.333
bicuuzadiva	6	0.25
beecuzadiiva	6	0.2
vubahoxisudup	7	1.0
vubahoxisuduup	7	0.5
vubahhoxisuduup	7	0.333
vuubahoxisudup	7	0.25
vubahoxeesudup	7	0.2
tuhasatoril	8	1.0
tuhaasatoril	8	0.5
tuhasahtoril	8	0.333
qinuj	9	1.0
qiinuj	9	0.5
qinuuj	9	0.333
qynuj	9	0.25
qinooj	9	0.2
fifejotojivo	10	1.0
fyfejotojivo	10	0.5
fifejootojivo	10	0.333
fifejodojivo	10	0.25
fifejotojivoo	10	0.2
haba	11	1.0
haaba	11	0.5
hahba	11	0.333
habah	11	0.25
yififiwegox	12	1.0
yififywegox	12	0.5
yififiwegoox	12	0.333
yifeefiwegox	12	0.25
vahumevunedewer	13	1.0
vahumevunehdewer	13	0.5
vahoomevuunedewer	13	0.333
vahumevuunedewer	13	0.25
vahoomevunedewer	13	0.2
lobahamewo	14	1.0
lohbahamewo	14	0.5
lobahameewo	14	0.333
lobaahamewo	14	0.25
loobahamewo	14	0.2
quvibakaveyum	15	1.0
quvibakaveyoom	15	0.5
quvibahkaveyum	15	0.333
quvibakhaveyum	15	0.25
xitix	16	1.0
xiteex	16	0.5
xityx	16	0.333
xeetix	16	0.25
xeeteex	16	0.2
daponukuva	17	1.0
daponukuuva	17	0.5
dapoonukuva	17	0.333
dapornukuva	17	0.25
beya	18	1.0
beyaa	18	0.5
